date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:42	1186/1186	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2024%20May%202023%2022:12:20%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/assets/img/moon.svg	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/assets/img/moon.svg	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:01:43	1009/1009	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2028%20Apr%202023%2022:10:24%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/assets/img/svg/bell.svg	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/assets/img/svg/bell.svg	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:01:43	3328/3328	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Jun%202023%2000:23:52%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/assets/img/svg/settings.svg	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/assets/img/svg/settings.svg	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:01:44	53530/53530	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20Sep%202023%2012:25:38%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/assets/img/nav_author.jpg	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/assets/img/nav_author.jpg	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:01:54	183701/183701	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/profile.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/profile.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:01:55	271459/271459	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/email.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/email.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:01:56	5197/5197	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/login.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/login.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:01:57	3168/3168	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2026%20Jun%202023%2000:23:52%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/assets/img/logo-text.svg	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/assets/img/logo-text.svg	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:01:57	2777/2777	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2006%20Sep%202023%2019:16:32%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/assets/img/logo-text-white.svg	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/assets/img/logo-text-white.svg	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:01:59	230823/230823	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:50%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/index-hr.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/index-hr.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:00	204945/204945	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:50%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/index-job-hiring.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/index-job-hiring.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:00	193752/193752	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:52%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/index-project.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/index-project.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:01	224757/224757	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:50%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/index-project-2.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/index-project-2.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:01	253831/253831	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:50%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/index-general.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/index-general.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:02	207684/207684	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/employees.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/employees.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:02	193481/193481	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/recruitment.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/recruitment.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:03	281669/281669	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:56%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/jobs.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/jobs.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:04	221048/221048	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/candidates.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/candidates.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:04	182034/182034	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/candidate.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/candidate.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:05	183200/183200	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:52%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/attendances.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/attendances.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:05	195513/195513	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/leaves.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/leaves.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:06	244296/244296	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:50%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/documents.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/documents.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:06	243929/243929	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:56%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/jobs-hiring.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/jobs-hiring.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:07	192188/192188	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/candidates-grid-hiring.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/candidates-grid-hiring.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:07	213614/213614	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/candidates-list-hiring.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/candidates-list-hiring.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:08	210327/210327	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/candidates-qualified-hiring.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/candidates-qualified-hiring.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:09	182047/182047	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/candidate-hiring.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/candidate-hiring.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:09	181795/181795	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/statistics-hiring.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/statistics-hiring.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:10	230411/230411	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:52%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/company-hiring.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/company-hiring.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:10	244294/244294	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:50%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/documents-hiring.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/documents-hiring.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:10	196978/196978	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:52%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/contacts.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/contacts.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:11	227952/227952	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/projects.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/projects.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:12	186444/186444	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/project-details.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/project-details.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:12	244258/244258	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:50%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/files.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/files.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:12	198182/198182	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:52%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/contacts-2.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/contacts-2.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:13	191445/191445	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:52%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/contact-new.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/contact-new.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:13	186698/186698	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/profile-2.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/profile-2.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:14	182054/182054	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/preferences.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/preferences.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:14	195061/195061	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:52%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/calendar.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/calendar.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:15	186243/186243	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:50%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/email-compose.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/email-compose.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:15	191847/191847	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:50%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/email-details.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/email-details.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:16	250730/250730	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:50%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/inbox.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/inbox.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:16	236391/236391	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:52%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/chat.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/chat.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:16	214316/214316	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/chat-2.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/chat-2.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:17	196788/196788	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:56%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/invoices.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/invoices.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:17	184841/184841	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/invoice.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/invoice.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:17	185631/185631	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:52%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/invoice-new.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/invoice-new.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:18	214907/214907	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/task.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/task.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:18	223685/223685	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/task-2.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/task-2.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:19	172478/172478	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/task-jkanban.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/task-jkanban.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:19	257383/257383	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/accordion.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/accordion.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:19	214703/214703	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/alerts.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/alerts.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:20	202818/202818	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/avatar.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/avatar.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:20	188561/188561	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/badge.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/badge.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:20	182902/182902	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/breadcrumb.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/breadcrumb.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:21	179856/179856	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:52%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/collapse.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/collapse.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:22	197233/197233	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:50%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/dropdowns.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/dropdowns.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:22	191007/191007	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/list-group.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/list-group.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:23	232290/232290	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/modals.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/modals.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:23	202148/202148	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/offcanvas.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/offcanvas.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:23	260370/260370	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/tabs.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/tabs.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:24	194488/194488	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/pagination.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/pagination.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:24	185894/185894	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/placeholders.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/placeholders.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:24	188029/188029	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/popovers.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/popovers.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:25	225055/225055	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/progressbar.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/progressbar.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:25	197834/197834	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/spinners.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/spinners.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:25	190862/190862	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/toasts.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/toasts.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:26	181774/181774	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:54%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/tooltips.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/tooltips.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:26	208384/208384	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/cards-basic.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/cards-basic.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
20:02:27	242178/242178	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Oct%202023%2001:20:48%20GMT	https://wpthemebooster.com/demo/themeforest/html/kleon/cards.html	C:/admin/Admin/wpthemebooster.com/demo/themeforest/html/kleon/cards.html	(from https://wpthemebooster.com/demo/themeforest/html/kleon/index.html)
